x_m,y_m,heading_rad,kind
0.000,0.0000,0.00000,start
0.250,0.0000,0.00000,center
0.500,0.0000,0.00000,center
0.750,0.0000,0.00000,center
1.000,0.0000,0.00000,center
1.250,0.0000,0.00000,center
1.500,0.0000,0.00000,center
1.750,0.0000,0.00000,center
2.000,0.0000,0.00000,center
2.250,0.0000,0.00000,center
2.500,0.0000,0.00000,center
2.750,0.0000,0.00000,center
3.000,0.0000,0.00000,center
3.250,-0.0076,-0.06054,center
3.500,-0.0302,-0.11883,center
3.750,-0.0670,-0.17279,center
4.000,-0.1170,-0.22072,center
4.250,-0.1786,-0.26129,center
4.500,-0.2500,-0.29357,center
4.750,-0.3290,-0.31696,center
5.000,-0.4132,-0.33111,center
5.250,-0.5000,-0.33584,center
5.500,-0.5868,-0.33111,center
5.750,-0.6710,-0.31696,center
6.000,-0.7500,-0.29357,center
6.250,-0.8214,-0.26129,center
6.500,-0.8830,-0.22072,center
6.750,-0.9330,-0.17279,center
7.000,-0.9698,-0.11883,center
7.250,-0.9924,-0.06054,center
7.500,-1.0000,-0.00000,center
7.750,-0.9924,0.06054,center
8.000,-0.9698,0.11883,center
8.250,-0.9330,0.17279,center
8.500,-0.8830,0.22072,center
8.750,-0.8214,0.26129,center
9.000,-0.7500,0.29357,center
9.250,-0.6710,0.31696,center
9.500,-0.5868,0.33111,center
9.750,-0.5000,0.33584,center
10.000,-0.4132,0.33111,center
10.250,-0.3290,0.31696,center
10.500,-0.2500,0.29357,center
10.750,-0.1786,0.26129,center
11.000,-0.1170,0.22072,center
11.250,-0.0670,0.17279,center
11.500,-0.0302,0.11883,center
11.750,-0.0076,0.06054,center
12.000,-0.0000,0.00000,center
12.250,0.0076,0.06054,center
12.500,0.0302,0.11883,center
12.750,0.0670,0.17279,center
13.000,0.1170,0.22072,center
13.250,0.1786,0.26129,center
13.500,0.2500,0.29357,center
13.750,0.3290,0.31696,center
14.000,0.4132,0.33111,center
14.250,0.5000,0.33584,center
14.500,0.5868,0.33111,center
14.750,0.6710,0.31696,center
15.000,0.7500,0.29357,center
15.250,0.8214,0.26129,center
15.500,0.8830,0.22072,center
15.750,0.9330,0.17279,center
16.000,0.9698,0.11883,center
16.250,0.9924,0.06054,center
16.500,1.0000,0.00000,center
16.750,0.9924,-0.06054,center
17.000,0.9698,-0.11883,center
17.250,0.9330,-0.17279,center
17.500,0.8830,-0.22072,center
17.750,0.8214,-0.26129,center
18.000,0.7500,-0.29357,center
18.250,0.6710,-0.31696,center
18.500,0.5868,-0.33111,center
18.750,0.5000,-0.33584,center
19.000,0.4132,-0.33111,center
19.250,0.3290,-0.31696,center
19.500,0.2500,-0.29357,center
19.750,0.1786,-0.26129,center
20.000,0.1170,-0.22072,center
20.250,0.0670,-0.17279,center
20.500,0.0302,-0.11883,center
20.750,0.0076,-0.06054,center
21.000,0.0000,-0.00000,center
21.250,0.0000,0.00000,center
21.500,0.0000,0.00000,center
21.750,0.0000,0.00000,center
22.000,0.0000,0.00000,center
22.250,0.0000,0.00000,center
22.500,0.0000,0.00000,center
22.750,0.0000,0.00000,center
23.000,0.0000,0.00000,center
23.250,0.0000,0.00000,center
23.500,0.0000,0.00000,center
23.750,0.0000,0.00000,center
24.000,0.0000,0.00000,center
24.250,0.0000,0.00000,center
24.500,0.0000,0.00000,finish
